"district"	"UC_GRADS"	"GRADS"	"YEAR"	"PERCENT_UC"
"349"	64030	37	94	1998	39.3617021276596
"350"	65730	31	94	1998	32.9787234042553
"351"	71068	32	93	1998	34.4086021505376
"352"	73619	31	93	1998	33.3333333333333
"353"	75465	52	90	1998	57.7777777777778
"354"	73692	49	88	1998	55.6818181818182
"355"	75168	24	87	1998	27.5862068965517
"356"	70656	8	84	1998	9.52380952380952
"357"	73890	50	83	1998	60.2409638554217
"358"	73361	22	80	1998	27.5
"359"	62901	10	77	1998	12.987012987013
"360"	72165	20	77	1998	25.974025974026
"361"	10017	0	72	1998	0
"362"	61614	10	72	1998	13.8888888888889
"363"	73585	24	71	1998	33.8028169014084
"364"	10090	1	69	1998	1.44927536231884
"365"	10504	0	67	1998	0
"366"	70276	44	67	1998	65.6716417910448
"367"	10066	0	64	1998	0
"368"	61432	23	64	1998	35.9375
"369"	72686	13	64	1998	20.3125
"370"	10561	0	62	1998	0
"371"	64071	25	62	1998	40.3225806451613
"372"	67801	5	61	1998	8.19672131147541
"373"	10496	0	60	1998	0
"374"	10389	0	59	1998	0
"375"	10447	0	59	1998	0
"376"	10215	0	58	1998	0
"377"	10421	0	58	1998	0
"378"	75051	4	58	1998	6.89655172413793
"379"	61622	8	56	1998	14.2857142857143
"380"	71373	39	55	1998	70.9090909090909
"381"	62588	24	51	1998	47.0588235294118
"382"	75184	18	51	1998	35.2941176470588
"383"	68171	20	47	1998	42.5531914893617
"384"	73916	14	46	1998	30.4347826086957
"385"	10041	0	45	1998	0
"386"	62281	4	45	1998	8.88888888888889
"387"	71571	12	45	1998	26.6666666666667
"388"	61408	13	44	1998	29.5454545454545
"389"	66241	22	43	1998	51.1627906976744
"390"	65599	12	42	1998	28.5714285714286
"391"	10587	0	38	1998	0
"392"	65540	18	38	1998	47.3684210526316
"393"	73593	10	38	1998	26.3157894736842
"394"	75374	16	38	1998	42.1052631578947
"395"	70250	11	37	1998	29.7297297297297
"396"	10454	0	36	1998	0
"397"	64204	4	35	1998	11.4285714285714
"398"	73668	20	35	1998	57.1428571428571
"399"	75382	35	35	1998	100
"400"	75440	0	35	1998	0
"401"	61168	14	34	1998	41.1764705882353
"402"	63214	2	33	1998	6.06060606060606
"403"	61606	13	32	1998	40.625
"404"	63289	7	32	1998	21.875
"405"	75028	15	32	1998	46.875
"406"	73866	7	30	1998	23.3333333333333
"407"	64089	12	29	1998	41.3793103448276
"408"	67892	6	29	1998	20.6896551724138
"409"	67983	9	29	1998	31.0344827586207
"410"	73684	3	28	1998	10.7142857142857
"411"	75036	8	28	1998	28.5714285714286
"412"	75416	4	26	1998	15.3846153846154
"413"	10082	0	25	1998	0
"414"	70706	9	24	1998	37.5
"415"	63628	4	23	1998	17.3913043478261
"416"	68940	8	23	1998	34.7826086956522
"417"	65607	0	22	1998	0
"418"	10280	0	21	1998	0
"419"	68833	3	20	1998	15
"420"	75010	5	20	1998	25
"421"	10124	0	19	1998	0
"422"	75259	13	19	1998	68.4210526315789
"423"	10033	0	18	1998	0
"424"	10058	0	18	1998	0
"425"	10413	7	18	1998	38.8888888888889
"426"	62646	6	18	1998	33.3333333333333
"427"	10348	0	17	1998	0
"428"	10116	0	16	1998	0
"429"	10355	0	16	1998	0
"430"	65896	10	15	1998	66.6666666666667
"431"	63248	4	14	1998	28.5714285714286
"432"	62653	9	13	1998	69.2307692307692
"433"	63297	0	13	1998	0
"434"	71803	0	13	1998	0
"435"	10074	0	11	1998	0
"436"	10108	0	11	1998	0
"437"	10231	0	11	1998	0
"438"	10314	0	11	1998	0
"439"	73833	1	11	1998	9.09090909090909
"440"	10512	0	10	1998	0
"441"	73858	0	9	1998	0
"442"	75218	9	9	1998	100
"443"	10165	0	7	1998	0
"444"	10272	0	7	1998	0
"445"	10538	0	7	1998	0
"446"	10173	0	6	1998	0
"447"	10181	0	6	1998	0
"448"	75424	0	6	1998	0
"449"	10264	0	5	1998	0
"450"	10363	5	5	1998	100
"451"	10140	0	4	1998	0
"452"	10132	0	3	1998	0
"453"	10207	0	2	1998	0
"454"	10223	0	2	1998	0
"455"	10256	2	2	1998	100
"456"	61333	0	2	1998	0
"457"	63271	0	2	1998	0
"458"	10520	0	1	1998	0
"459"	64733	10613	27439	1999	38.6785232697985
"460"	68338	2510	6449	1999	38.9207629089781
"461"	63529	1147	5371	1999	21.355427294731
"462"	69427	1987	4444	1999	44.7119711971197
"463"	68411	1318	4398	1999	29.9681673487949
"464"	64725	1699	4248	1999	39.9952919020716
"465"	68130	1474	4123	1999	35.7506669900558
"466"	62166	1197	3686	1999	32.4742268041237
"467"	68478	2002	3676	1999	54.4613710554951
"468"	67652	881	3560	1999	24.747191011236
"469"	66431	671	3312	1999	20.2596618357488
"470"	64246	548	3038	1999	18.0381830151415
"471"	67447	1155	3020	1999	38.2450331125828
"472"	66548	1368	2803	1999	48.8048519443453
"473"	71175	979	2616	1999	37.4235474006116
"474"	66522	674	2574	1999	26.1849261849262
"475"	66514	1048	2535	1999	41.3412228796844
"476"	72546	961	2438	1999	39.4175553732568
"477"	67314	933	2405	1999	38.7941787941788
"478"	67439	266	2395	1999	11.1064718162839
"479"	66464	894	2367	1999	37.7693282636248
"480"	68296	1161	2227	1999	52.132914234396
"481"	66670	417	2145	1999	19.4405594405594
"482"	65136	651	2139	1999	30.4347826086957
"483"	64568	672	2063	1999	32.5739214735822
"484"	67033	564	2053	1999	27.471992206527
"485"	73635	1094	1999	1999	54.7273636818409
"486"	67215	771	1994	1999	38.6659979939819
"487"	62117	802	1985	1999	40.4030226700252
"488"	67876	359	1984	1999	18.0947580645161
"489"	61754	636	1975	1999	32.2025316455696
"490"	69468	1373	1913	1999	71.7720857292211
"491"	65128	729	1845	1999	39.5121951219512
"492"	65060	737	1838	1999	40.0979325353645
"493"	67678	426	1836	1999	23.202614379085
