"district"	"ENROLL_TOTAL"	"ENROLL_MEAN"	"GR_Kto5_TOTAL"	"GR_Kto5_MEAN"	"GR_6to8_TOTAL"	"GR_6to8_MEAN"	"GR_9to12_TOTAL"	"GR_9to12_MEAN"	"YEAR"
"149"	62372	116	38.6666666666667	75	25	41	13.6666666666667	0	0	1998
"150"	62380	284	47.3333333333333	185	30.8333333333333	99	16.5	0	0	1998
"151"	62414	7594	61.241935483871	3592	28.9677419354839	1715	13.8306451612903	2141	17.2661290322581	1998
"152"	62430	5635	53.6666666666667	2778	26.4571428571429	1276	12.152380952381	1412	13.447619047619	1998
"153"	62513	443	36.9166666666667	291	24.25	152	12.6666666666667	0	0	1998
"154"	62521	1289	75.8235294117647	0	0	0	0	1289	75.8235294117647	1998
"155"	62539	314	19.625	195	12.1875	119	7.4375	0	0	1998
"156"	62547	364	72.8	253	50.6	111	22.2	0	0	1998
"157"	62554	144	36	94	23.5	50	12.5	0	0	1998
"158"	62570	463	66.1428571428571	316	45.1428571428571	147	21	0	0	1998
"159"	62588	246	24.6	0	0	0	0	246	24.6	1998
"160"	62596	129	32.25	88	22	41	10.25	0	0	1998
"161"	62638	140	17.5	97	12.125	43	5.375	0	0	1998
"162"	62646	273	17.0625	123	7.6875	72	4.5	78	4.875	1998
"163"	62653	184	9.68421052631579	95	5	42	2.21052631578947	47	2.47368421052632	1998
"164"	62661	1944	45.2093023255814	904	21.0232558139535	457	10.6279069767442	583	13.5581395348837	1998
"165"	62679	966	30.1875	582	18.1875	350	10.9375	0	0	1998
"166"	62687	2056	54.1052631578947	0	0	0	0	2042	53.7368421052632	1998
"167"	62695	50	7.14285714285714	25	3.57142857142857	25	3.57142857142857	0	0	1998
"168"	62703	220	20	148	13.4545454545455	72	6.54545454545455	0	0	1998
"169"	62729	83	13.8333333333333	50	8.33333333333333	33	5.5	0	0	1998
"170"	62737	149	21.2857142857143	93	13.2857142857143	56	8	0	0	1998
"171"	62745	515	21.4583333333333	429	17.875	86	3.58333333333333	0	0	1998
"172"	62794	129	18.4285714285714	68	9.71428571428571	61	8.71428571428571	0	0	1998
"173"	62802	780	37.1428571428571	530	25.2380952380952	250	11.9047619047619	0	0	1998
