"District Code"	"District Name"	"AVG_PR_FRPM"	"Year"
"207"	"63503"	"Greenfield Union Elementary"	0.840801367183373	2004
"208"	"63529"	"Kern Union High"	0.51126618884266	2004
"209"	"63545"	"Kernville Union Elementary"	0.688070743883309	2004
"210"	"63552"	"Lakeside Union School"	0.342548930596854	2004
"211"	"63560"	"Lamont Elementary"	0.897610503277804	2004
"212"	"63578"	"Richland Union Elementary School District"	0.920532026180633	2004
"213"	"63586"	"Linns Valley-Poso Flat Union"	0.525	2004
"214"	"63594"	"Lost Hills Union Elementary"	0.894348109517601	2004
"215"	"63610"	"Maple Elementary"	0.507518796992481	2004
"216"	"63628"	"Maricopa Unified"	0.600374544233105	2004
"217"	"63651"	"McKittrick Elementary"	0.25	2004
"218"	"63669"	"Midway Elementary"	0.471910112359551	2004
"219"	"63677"	"Mojave Unified"	0.602160476334965	2004
"220"	"63685"	"Muroc Joint Unified"	0.250105511465579	2004
"221"	"63693"	"Norris Elementary"	0.134262045168291	2004
"222"	"63719"	"Pond Union Elementary"	0.776824034334764	2004
"223"	"63750"	"Rosedale Union Elementary"	0.173795549090246	2004
"224"	"63768"	"Semitropic Elementary"	0.900826446280992	2004
"225"	"63776"	"Southern Kern Unified"	0.514822253324636	2004
"226"	"63784"	"South Fork Union Elementary"	0.63731280949824	2004
"227"	"63792"	"Standard Elementary"	0.660952986359735	2004
"228"	"63800"	"Taft City Elementary"	0.784844883008733	2004
"229"	"63818"	"Taft Union High"	0.649645442458266	2004
"230"	"63826"	"Tehachapi Unified"	0.306958625042048	2004
"231"	"63834"	"Vineland Elementary"	0.977047971940101	2004
"232"	"63842"	"Wasco Union Elementary"	0.868111217866444	2004
"233"	"63859"	"Wasco Union High"	0.826345213137666	2004
"234"	"73544"	"Rio Bravo-Greeley Union Elementary"	0.413123432711062	2004
"235"	"73742"	"Sierra Sands Unified"	0.51435947224807	2004
"236"	"73908"	"McFarland Unified"	0.713168539438392	2004
"237"	"75168"	"El Tejon Unified"	0.345902179019127	2004
"238"	"75630"	"State Board of Education"	0.313492063492063	2004
"239"	"10165"	"Kings Co. Office of Education"	0.802247191011236	2004
"240"	"63875"	"Armona Union Elementary"	0.761466348714671	2004
"241"	"63883"	"Central Union Elementary"	0.574381278363969	2004
"242"	"63891"	"Corcoran Joint Unified"	0.857142857142857	2004
"243"	"63909"	"Delta View Joint Union Elementary"	0.742574257425743	2004
"244"	"63917"	"Hanford Elementary"	0.754827070493232	2004
"245"	"63925"	"Hanford Joint Union High"	0.487226566507458	2004
"246"	"63933"	"Island Union Elementary"	0.39662447257384	2004
"247"	"63941"	"Kings River-Hardwick Union Elementary"	0.255813953488372	2004
"248"	"63958"	"Kit Carson Union Elementary"	0.283492822966507	2004
"249"	"63966"	"Lakeside Union Elementary"	0.837119667939073	2004
"250"	"63974"	"Lemoore Union Elementary"	0.567166589887848	2004
"251"	"63982"	"Lemoore Union High"	0.298026948397046	2004
"252"	"63990"	"Pioneer Union Elementary"	0.216965497189378	2004
"253"	"73932"	"Reef-Sunset Unified"	0.888888888888889	2004
"254"	"10173"	"Lake Co. Office of Education"	0.810526315789474	2004
"255"	"64014"	"Kelseyville Unified"	0.583485234434435	2004
"256"	"64022"	"Konocti Unified"	0.711858374998531	2004
"257"	"64030"	"Lakeport Unified"	0.31652689717723	2004
"258"	"64048"	"Lucerne Elementary"	0.765676567656766	2004
"259"	"64055"	"Middletown Unified"	0.200315725341847	2004
"260"	"64063"	"Upper Lake Union Elementary"	0.69654150459104	2004
"261"	"64071"	"Upper Lake Union High"	0.527714502657555	2004
"262"	"10181"	"Lassen Co. Office of Education"	0.418478260869565	2004
"263"	"64089"	"Big Valley Joint Unified"	0.620562812811004	2004
"264"	"64105"	"Janesville Union Elementary"	0.304535637149028	2004
"265"	"64113"	"Johnstonville Elementary"	0.576131687242798	2004
"266"	"64139"	"Lassen Union High"	0.595098039215686	2004
"267"	"64162"	"Ravendale-Termo Elementary"	1	2004
"268"	"64170"	"Richmond Elementary"	0.113300492610837	2004
"269"	"64188"	"Shaffer Union Elementary"	0.521963824289406	2004
"270"	"64196"	"Susanville Elementary"	0.637341601145605	2004
"271"	"64204"	"Westwood Unified"	0.720471101247909	2004
"272"	"75036"	"Fort Sage Unified"	0.500041594435177	2004
"273"	"10199"	"Los Angeles Co. Office of Education"	0.621043685976464	2004
"274"	"64212"	"ABC Unified"	0.457018299790185	2004
"275"	"64246"	"Antelope Valley Union High"	0.382713896546038	2004
"276"	"64261"	"Arcadia Unified"	0.0918640510734448	2004
"277"	"64279"	"Azusa Unified"	0.737326336580486	2004
"278"	"64287"	"Baldwin Park Unified"	0.771582786348471	2004
"279"	"64295"	"Bassett Unified"	0.77987475794748	2004
"280"	"64303"	"Bellflower Unified"	0.588477907435388	2004
"281"	"64311"	"Beverly Hills Unified"	0	2004
"282"	"64329"	"Bonita Unified"	0.253207478760883	2004
"283"	"64337"	"Burbank Unified"	0.314517890934697	2004
"284"	"64345"	"Castaic Union Elementary"	0.153616316138288	2004
"285"	"64352"	"Centinela Valley Union High"	0.544635173611261	2004
"286"	"64378"	"Charter Oak Unified"	0.274294938071121	2004
"287"	"64394"	"Claremont Unified"	0.329176507777376	2004
"288"	"64436"	"Covina-Valley Unified"	0.45726218711417	2004
"289"	"64444"	"Culver City Unified"	0.286104874382226	2004
"290"	"64451"	"Downey Unified"	0.546316750977821	2004
"291"	"64469"	"Duarte Unified"	0.694711737436277	2004
"292"	"64477"	"Eastside Union Elementary"	0.837248379079213	2004
"293"	"64485"	"East Whittier City Elementary"	0.353393904570275	2004
"294"	"64501"	"El Monte City Elementary"	0.886565813547325	2004
"295"	"64519"	"El Monte Union High"	0.662714837429546	2004
"296"	"64527"	"El Rancho Unified"	0.700972326895418	2004
"297"	"64535"	"El Segundo Unified"	0.112087913968979	2004
"298"	"64550"	"Garvey Elementary"	0.842505093608533	2004
"299"	"64568"	"Glendale Unified"	0.387807486859677	2004
"300"	"64576"	"Glendora Unified"	0.180229634343014	2004
"301"	"64584"	"Gorman Elementary"	0.507007320165215	2004
"302"	"64592"	"Hawthorne Elementary"	0.853125391197402	2004
"303"	"64600"	"Hermosa Beach City Elementary"	0.0333955541142832	2004
"304"	"64626"	"Hughes-Elizabeth Lakes Union Elementary"	0.166666666666667	2004
"305"	"64634"	"Inglewood Unified"	0.597805936309156	2004
"306"	"64642"	"Keppel Union Elementary"	0.771674519884777	2004
"307"	"64659"	"La Canada Unified"	0	2004
"308"	"64667"	"Lancaster Elementary"	0.600003691946416	2004
"309"	"64683"	"Las Virgenes Unified"	0.0300658743762131	2004
"310"	"64691"	"Lawndale Elementary"	0.765720763258692	2004
"311"	"64709"	"Lennox Elementary"	0.895326019363723	2004
"312"	"64717"	"Little Lake City Elementary"	0.722530222789733	2004
"313"	"64725"	"Long Beach Unified"	0.676214087084186	2004
"314"	"64733"	"Los Angeles Unified"	0.739183525238544	2004
"315"	"64758"	"Los Nietos Elementary"	1	2004
"316"	"64766"	"Lowell Joint"	0.188296751299972	2004
"317"	"64774"	"Lynwood Unified"	0.735870765974802	2004
"318"	"64790"	"Monrovia Unified"	0.559959556713757	2004
"319"	"64808"	"Montebello Unified"	0.773546614649852	2004
"320"	"64816"	"Mountain View Elementary"	0.824386654349567	2004
"321"	"64832"	"Newhall Elementary"	0.269945420676077	2004
"322"	"64840"	"Norwalk-La Mirada Unified"	0.531818149804322	2004
"323"	"64857"	"Palmdale Elementary"	0.617930736768412	2004
"324"	"64865"	"Palos Verdes Peninsula Unified"	0.0147518680038472	2004
"325"	"64873"	"Paramount Unified"	0.871008227181135	2004
"326"	"64881"	"Pasadena Unified"	0.732381758084414	2004
"327"	"64907"	"Pomona Unified"	0.551069157973711	2004
"328"	"64931"	"Rosemead Elementary"	0.810744182673502	2004
"329"	"64964"	"San Marino Unified"	0	2004
"330"	"64980"	"Santa Monica-Malibu Unified"	0.232307722229539	2004
"331"	"64998"	"Saugus Union Elementary"	0.119926328841334	2004
"332"	"65029"	"South Pasadena Unified"	0.0958656210075816	2004
"333"	"65037"	"South Whittier Elementary"	0.783438208865905	2004
"334"	"65045"	"Sulphur Springs Union Elementary"	0.357029561409167	2004
"335"	"65052"	"Temple City Unified"	0.238554596944412	2004
"336"	"65060"	"Torrance Unified"	0.19216453213894	2004
"337"	"65078"	"Valle Lindo Elementary"	0.717751588677065	2004
"338"	"65094"	"West Covina Unified"	0.543657919736164	2004
"339"	"65102"	"Westside Union Elementary"	0.25655657416295	2004
"340"	"65110"	"Whittier City Elementary"	0.578203888994456	2004
"341"	"65128"	"Whittier Union High"	0.415849908505121	2004
"342"	"65136"	"William S. Hart Union High"	0.110602166756705	2004
"343"	"65151"	"Wilsona Elementary"	0.660358314068207	2004
"344"	"65169"	"Wiseburn Elementary"	0.415644884904939	2004
"345"	"73437"	"Compton Unified"	0.953305152904118	2004
"346"	"73445"	"Hacienda la Puente Unified"	0.603975862217316	2004
"347"	"73452"	"Rowland Unified"	0.613308418712365	2004
"348"	"73460"	"Walnut Valley Unified"	0.137144978928095	2004
"349"	"75291"	"San Gabriel Unified"	0.479367921052949	2004
"350"	"75309"	"Acton-Agua Dulce Unified"	0.18945256019353	2004
"351"	"75333"	"Manhattan Beach Unified"	0.0229575513418399	2004
"352"	"75341"	"Redondo Beach Unified"	0.20903522228599	2004
"353"	"75663"	"State Board of Education"	0	2004
"354"	"75671"	"State Board of Education"	0.754	2004
"355"	"75697"	"State Board of Education"	0.311284046692607	2004
"356"	"75713"	"Alhambra Unified"	0.570943401065416	2004
"357"	"10207"	"Madera Co. Office of Education"	0.562718106411402	2004
"358"	"65177"	"Alview-Dairyland Union Elementary"	0.729816094952393	2004
"359"	"65185"	"Bass Lake Joint Elementary"	0.220737871281322	2004
"360"	"65193"	"Chowchilla Elementary"	0.567971065075661	2004
"361"	"65201"	"Chowchilla Union High"	0.520793457456064	2004
"362"	"65219"	"Coarsegold Union Elementary"	0.396890841851575	2004
"363"	"65243"	"Madera Unified"	0.808068168321448	2004
"364"	"65276"	"Raymond-Knowles Union Elementary"	0.891752577319588	2004
"365"	"73734"	"Yosemite Joint Union High"	0.318368676668718	2004
"366"	"75580"	"Golden Valley Unified School District"	0.282506318778283	2004
"367"	"75606"	"Chawanakee Unified"	0.430873391212756	2004
"368"	"10215"	"Marin Co. Office of Education"	0.286871780908946	2004
"369"	"65300"	"Bolinas-Stinson Union Elementary"	0.204918032786885	2004
"370"	"65318"	"Dixie Elementary"	0.087405688074662	2004
"371"	"65334"	"Kentfield Elementary"	0	2004
"372"	"65342"	"Laguna Joint Elementary"	0.535714285714286	2004
"373"	"65359"	"Lagunitas Elementary"	0.145833333333333	2004
"374"	"65367"	"Larkspur Elementary"	0.0558653046371387	2004
"375"	"65375"	"Lincoln Elementary"	0	2004
"376"	"65391"	"Mill Valley Elementary"	0.0286013945254149	2004
"377"	"65409"	"Nicasio Elementary"	0	2004
"378"	"65417"	"Novato Unified"	0.191777745279835	2004
"379"	"65425"	"Reed Union Elementary"	0.0283370678617157	2004
"380"	"65433"	"Ross Elementary"	0	2004
"381"	"65458"	"San Rafael City Elementary"	0.548294011570842	2004
"382"	"65466"	"San Rafael City High"	0.21160827020202	2004
"383"	"65474"	"Sausalito Marin City School District"	0.595264520902701	2004
"384"	"65482"	"Tamalpais Union High"	0.0332081262377929	2004
"385"	"65516"	"Union Joint Elementary"	0.25	2004
"386"	"73361"	"Shoreline Unified"	0.316575130498961	2004
"387"	"75002"	"Ross Valley Elementary"	0.0873762836675977	2004
"388"	"10223"	"Mariposa Co. Office of Education"	1	2004
"389"	"65532"	"Mariposa County Unified"	0.928571428571429	2004
"390"	"10231"	"Mendocino Co. Office of Education"	0.896666666666667	2004
"391"	"65540"	"Anderson Valley Unified"	0.431673775916447	2004
"392"	"65557"	"Arena Union Elementary"	0.558914488943869	2004
"393"	"65565"	"Fort Bragg Unified"	0.403664963626217	2004
"394"	"65573"	"Manchester Union Elementary"	0.520547945205479	2004
"395"	"65581"	"Mendocino Unified"	0.226260691359376	2004
"396"	"65599"	"Point Arena Joint Union High"	0.807065217391304	2004
"397"	"65607"	"Round Valley Unified"	0.975	2004
"398"	"65615"	"Ukiah Unified"	0.590131301305151	2004
"399"	"65623"	"Willits Unified"	0.579633883425427	2004
"400"	"73866"	"Potter Valley Community Unified"	0.562384707618521	2004
"401"	"73916"	"Laytonville Unified"	0.430450310559006	2004
"402"	"75218"	"Leggett Valley Unified"	0.389661375661376	2004
"403"	"10249"	"Merced Co. Office of Education"	0.462436232480713	2004
"404"	"65631"	"Atwater Elementary"	0.662477304214984	2004
"405"	"65649"	"Ballico-Cressey Elementary"	0.698152071563088	2004
"406"	"65680"	"El Nido Elementary"	0.985507246376812	2004
"407"	"65698"	"Hilmar Unified"	0.573888817788671	2004
"408"	"65722"	"Le Grand Union Elementary"	0.834905660377358	2004
"409"	"65730"	"Le Grand Union High"	0.722012578616352	2004
"410"	"65748"	"Livingston Union Elementary"	0.859862886618681	2004
"411"	"65755"	"Los Banos Unified"	0.631960325106561	2004
"412"	"65763"	"McSwain Union Elementary"	0.280657395701643	2004
"413"	"65771"	"Merced City Elementary"	0.765549116337811	2004
"414"	"65789"	"Merced Union High"	0.618946455273276	2004
"415"	"65813"	"Plainsburg Union Elementary"	0.369565217391304	2004
"416"	"65821"	"Planada Elementary"	0.797793108855004	2004
"417"	"65839"	"Snelling-Merced Falls Union Elementary"	0.681818181818182	2004
"418"	"65862"	"Weaver Union Elementary"	0.706272163973543	2004
"419"	"65870"	"Winton Elementary"	0.894190049403953	2004
"420"	"73619"	"Gustine Unified"	0.571300413289262	2004
"421"	"73726"	"Merced River Union Elementary"	0.664112903225806	2004
"422"	"75317"	"Dos Palos Oro Loma Jt. Unified"	0.679588751988284	2004
"423"	"75366"	"Delhi Unified"	0.663860702390189	2004
"424"	"10256"	"Modoc Co. Office of Education"	0.942307692307692	2004
"425"	"65896"	"Surprise Valley Joint Unified"	0.605147340221967	2004
"426"	"73585"	"Modoc Joint Unified"	0.557064306320572	2004
"427"	"73593"	"Tulelake Basin Joint Unified"	0.8385731259715	2004
"428"	"10264"	"Mono Co. Office of Education"	0.546333783175888	2004
"429"	"73668"	"Eastern Sierra Unified"	0.385110410665758	2004
"430"	"73692"	"Mammoth Unified"	0.22742890636908	2004
"431"	"10272"	"Monterey Co. Office of Education"	0.562084717607973	2004
