"CO"	"DISTRICT"	"LEA ID"	"EXPENDITURES"	"CURRENT EXPENSE ADA"	"CURRENT EXPENSE PER ADA"	"LEA TYPE"	"YEAR"
"420"	"27"	"San Lucas Union Elementary"	"66183"	"863184"	"125.23"	6892.79	"Elementary"	1998
"421"	"27"	"Santa Rita Union Elementary"	"66191"	"11716065"	"2691.48"	4353.02	"Elementary"	1998
"422"	"27"	"Soledad Unified"	"75440"	"10650533"	"1991.7"	5347.46	"Unified"	1998
"423"	"27"	"Spreckels Union Elementary"	"66225"	"4354799"	"882.48"	4934.73	"Elementary"	1998
"424"	"27"	"Washington Union Elementary"	"66233"	"4413946"	"913.88"	4829.9	"Elementary"	1998
"425"	"28"	"Calistoga Joint Unified"	"66241"	"4.57866e+006"	"881.55"	5193.88	"Unified"	1998
"426"	"28"	"Howell Mountain Elementary"	"66258"	"680655"	"63.75"	10676.9	"Elementary"	1998
"427"	"28"	"Napa Valley Unified"	"66266"	"8.08144e+007"	"15467.8"	5224.7	"Unified"	1998
"428"	"28"	"Pope Valley Union Elementary"	"66282"	"511286"	"89.77"	5695.51	"Elementary"	1998
"429"	"28"	"St. Helena Unified"	"66290"	"8.68003e+006"	"1506.47"	5761.83	"Unified"	1998
"430"	"29"	"Chicago Park Elementary"	"66316"	"793406"	"140.78"	5635.79	"Elementary"	1998
"431"	"29"	"Clear Creek Elementary"	"66324"	"673700"	"111.54"	6039.99	"Elementary"	1998
"432"	"29"	"Grass Valley Elementary"	"66332"	"10856475"	"1962.28"	5532.58	"Elementary"	1998
"433"	"29"	"Nevada City Elementary"	"66340"	"7857029"	"1526.59"	5146.78	"Elementary"	1998
"434"	"29"	"Nevada Joint Union High"	"66357"	"23756164"	"4210.07"	5642.7	"High School"	1998
"435"	"29"	"Pleasant Ridge Union Elementary"	"66373"	"10109464"	"2024.47"	4993.63	"Elementary"	1998
"436"	"29"	"Pleasant Valley Elementary"	"66381"	"3868174"	"697.52"	5545.61	"Elementary"	1998
"437"	"29"	"Ready Springs Union Elementary"	"66399"	"2735129"	"530.43"	5156.44	"Elementary"	1998
"438"	"29"	"Twin Ridges Elementary"	"66415"	"4049305"	"562.15"	7203.25	"Elementary"	1998
"439"	"29"	"Union Hill Elementary"	"66407"	"3.27019e+006"	"682.81"	4789.31	"Elementary"	1998
"440"	"30"	"Anaheim Elementary"	"66423"	"100511368"	"20227"	4969.18	"Elementary"	1998
"441"	"30"	"Anaheim Union High"	"66431"	"144831698"	"26878"	5388.47	"High School"	1998
"442"	"30"	"Brea-Olinda Unified"	"66449"	"27506539"	"5955.42"	4618.74	"Unified"	1998
"443"	"30"	"Buena Park Elementary"	"66456"	"27301792"	"5457.26"	5002.84	"Elementary"	1998
"444"	"30"	"Capistrano Unified"	"66464"	"202078480"	"41137"	4912.33	"Unified"	1998
"445"	"30"	"Centralia Elementary"	"66472"	"25258860"	"5098.2"	4954.47	"Elementary"	1998
"446"	"30"	"Cypress Elementary"	"66480"	"23038521"	"4679.83"	4922.94	"Elementary"	1998
"447"	"30"	"Fountain Valley Elementary"	"66498"	"29826464"	"6100.13"	4889.48	"Elementary"	1998
"448"	"30"	"Fullerton Elementary"	"66506"	"55868910"	"12135.8"	4603.66	"Elementary"	1998
"449"	"30"	"Fullerton Joint Union High"	"66514"	"71143799"	"13031.8"	5459.23	"High School"	1998
"450"	"30"	"Garden Grove Unified"	"66522"	"229595529"	"45358.9"	5061.75	"Unified"	1998
"451"	"30"	"Huntington Beach City Elementary"	"66530"	"30524542"	"6429.88"	4747.3	"Elementary"	1998
"452"	"30"	"Huntington Beach Union High"	"66548"	"73857919"	"13855.4"	5330.62	"High School"	1998
"453"	"30"	"Irvine Unified"	"73650"	"118264847"	"23079.7"	5124.19	"Unified"	1998
"454"	"30"	"La Habra City Elementary"	"66563"	"29597200"	"5819.14"	5086.18	"Elementary"	1998
"455"	"30"	"Laguna Beach Unified"	"66555"	"14638091"	"2465.85"	5936.33	"Unified"	1998
"456"	"30"	"Los Alamitos Unified"	"73924"	"46384383"	"8574.22"	5409.75	"Unified"	1998
"457"	"30"	"Magnolia Elementary"	"66589"	"32317156"	"6248.46"	5172.02	"Elementary"	1998
"458"	"30"	"Newport-Mesa Unified"	"66597"	"111162258"	"19671.5"	5650.93	"Unified"	1998
"459"	"30"	"Ocean View Elementary"	"66613"	"48491211"	"9542.78"	5081.46	"Elementary"	1998
"460"	"30"	"Orange Unified"	"66621"	"134443207"	"28936.1"	4646.2	"Unified"	1998
"461"	"30"	"Placentia-Yorba Linda Unified"	"66647"	"124177128"	"24724.2"	5022.5	"Unified"	1998
"462"	"30"	"Saddleback Valley Unified"	"73635"	"161667260"	"33232.7"	4864.71	"Unified"	1998
"463"	"30"	"Santa Ana Unified"	"66670"	"273567708"	"54084.7"	5058.13	"Unified"	1998
"464"	"30"	"Savanna Elementary"	"66696"	"11901545"	"2333.19"	5100.98	"Elementary"	1998
"465"	"30"	"Tustin Unified"	"73643"	"77061182"	"15297.6"	5037.45	"Unified"	1998
"466"	"30"	"Westminster Elementary"	"66746"	"5.10316e+007"	"9560.74"	5337.63	"Elementary"	1998
"467"	"31"	"Ackerman Elementary"	"66761"	"1.4137e+006"	"300.76"	4700.43	"Elementary"	1998
"468"	"31"	"Alta-Dutch Flat Union Elementary"	"66779"	"1.04159e+006"	"193.31"	5388.17	"Elementary"	1998
"469"	"31"	"Auburn Union Elementary"	"66787"	"1.52448e+007"	"2806.91"	5431.18	"Elementary"	1998
"470"	"31"	"Colfax Elementary"	"66795"	"2.57618e+006"	"480.78"	5358.33	"Elementary"	1998
"471"	"31"	"Dry Creek Joint Elementary"	"66803"	"2.14307e+007"	"4644.64"	4614.07	"Elementary"	1998
"472"	"31"	"Emigrant Gap Elementary"	"66811"	"123035"	"13.36"	9209.21	"Elementary"	1998
"473"	"31"	"Eureka Union Elementary"	"66829"	"1.67774e+007"	"3742.99"	4482.35	"Elementary"	1998
"474"	"31"	"Foresthill Union Elementary"	"66837"	"3.8521e+006"	"748.97"	5143.19	"Elementary"	1998
"475"	"31"	"Loomis Union Elementary"	"66845"	"8.44838e+006"	"1823.89"	4632.07	"Elementary"	1998
"476"	"31"	"Newcastle Elementary"	"66852"	"1.52834e+006"	"314.86"	4854.04	"Elementary"	1998
"477"	"31"	"Ophir Elementary"	"66860"	"1.13864e+006"	"228.63"	4980.29	"Elementary"	1998
"478"	"31"	"Penryn Elementary"	"66878"	"1.53363e+006"	"323.19"	4745.3	"Elementary"	1998
"479"	"31"	"Placer Hills Union Elementary"	"66886"	"7.08876e+006"	"1409.7"	5028.56	"Elementary"	1998
"480"	"31"	"Placer Union High"	"66894"	"2.45103e+007"	"4447.73"	5510.75	"High School"	1998
